sample_id,I1_factor,I2_factor,I3_factor,pattern,n_damaged_members,severity,Fh_total,q_beam,maxUx,maxUy,maxUmag,maxMoment,M_colL_bottom,M_colL_top,M_beam_left,M_beam_right,M_colR_bottom,M_colR_top
27,0.99,1,1,left_column_only,1,healthy,10000,-20000,0.000663883504734881,5.86883847449756e-05,0.000665950035737462,538479.155563357,16562.9014199376,24381.4242109664,-24381.4242109664,10283.6928585763,-660.632772327695,-10283.6928585763
28,0.99,1,1,left_column_only,1,healthy,15000,-10000,0.000986428520706795,3.2486188731189e-05,0.000986698242701117,290427.432289463,16179.6250492598,19239.5829991127,-19239.5829991127,-1948.2662912378,7632.52566038976,1948.26629123779
29,0.99,1,1,left_column_only,1,healthy,15000,-15000,0.000988777704805676,4.63727858277576e-05,0.000989468256990942,419750.257553356,18345.8068194214,23572.721328447,-23572.721328447,2395.18510353776,5476.65695566943,-2395.18510353776
30,0.99,1,1,left_column_only,1,healthy,15000,-20000,0.000991126888904558,6.02593829243262e-05,0.000992430555842176,549073.082817249,20511.9885895831,27905.8596577812,-27905.8596577812,6738.63649831332,3320.7882509491,-6738.63649831332
31,0.99,1,1,left_column_only,1,healthy,20000,-10000,0.00131367190487647,3.40571869105396e-05,0.00131384780454822,301021.359543356,20128.7122189053,22764.0184459275,-22764.0184459275,-5493.32265150077,11613.9466836666,5493.32265150076
32,0.99,1,1,left_column_only,1,healthy,20000,-15000,0.00131602108897535,4.79437840071082e-05,0.00131649683889837,430344.184807249,22294.8939890669,27097.1567752617,-27097.1567752617,-1149.87125672521,9458.07797894623,1149.8712567252
33,0.99,1,1,left_column_only,1,healthy,20000,-20000,0.00131837027307424,6.18303811036768e-05,0.00131929100932126,559667.010071142,24461.0757592286,31430.2951045959,-31430.2951045959,3193.58013805035,7302.20927422591,-3193.58013805034
34,0.99,1,1,left_column_only,1,healthy,25000,-10000,0.00164091528904615,3.56281850898902e-05,0.00164103628415678,311615.286797248,24077.7993885508,26288.4538927422,-26288.4538927422,-9038.37901176373,15595.3677069434,9038.37901176373
35,0.99,1,1,left_column_only,1,healthy,25000,-15000,0.00164326447314503,4.95147821864588e-05,0.00164361243092838,440938.112061141,26243.9811587124,30621.5922220765,-30621.5922220764,-4694.92761698818,13439.499002223,4694.92761698817
36,0.99,1,1,left_column_only,1,healthy,25000,-20000,0.00164561365724391,6.34013792830274e-05,0.0016463051137073,570260.937325034,28410.1629288741,34954.7305514107,-34954.7305514107,-351.476222212623,11283.6302975027,351.476222212619
37,0.985,1,1,left_column_only,1,healthy,10000,-10000,0.000661760350124293,3.09133339344664e-05,0.000662218997072003,279797.737172169,12211.9808125479,15687.7344670701,-15687.7344670701,1577.73176197126,3678.01648235334,-1577.73176197126
38,0.985,1,1,left_column_only,1,healthy,10000,-15000,0.000664686972079141,4.47987810161625e-05,0.000665803035870235,409106.394967818,14377.531276912,20011.8803950863,-20011.8803950863,5917.36582235502,1527.95415035669,-5917.36582235503
39,0.985,1,1,left_column_only,1,healthy,10000,-20000,0.000667613594033989,5.86842280978586e-05,0.000669668939851227,538415.052763466,16543.0817412762,24336.0263231025,-24336.0263231026,10256.9998827388,-622.108181639967,-10256.9998827388
40,0.985,1,1,left_column_only,1,healthy,15000,-10000,0.000989713903231591,3.24845538200035e-05,0.000989982768219221,290387.947962605,16152.4207544576,19207.4557725889,-19207.4557725889,-1973.03641742687,7667.08705552667,1973.03641742687
41,0.985,1,1,left_column_only,1,healthy,15000,-15000,0.000992640525186439,4.63700009016996e-05,0.000993328495608004,419696.605758253,18317.9712188218,23531.6017006051,-23531.6017006051,2366.5976429569,5517.02472353002,-2366.59764295689
42,0.985,1,1,left_column_only,1,healthy,15000,-20000,0.000995567147141287,6.02554479833957e-05,0.000996865208009188,549005.263553902,20483.521683186,27855.7476286213,-27855.7476286213,6706.23170334067,3366.96239153336,-6706.23170334066
43,0.985,1,1,left_column_only,1,healthy,20000,-10000,0.00131766745633889,3.40557737055406e-05,0.00131784284575749,300978.15875304,20092.8606963674,22727.1770781077,-22727.1770781077,-5523.804596825,11656.1576287,5523.804596825
